Date,State,County,Area,Prcp,Snow,Temp,NumPolice,MalePopulation,FemalePopulation,AvgIncome,WhiteMale,WhiteFemale,BlackMale,BlackFemale,AsianMale,AsianFemale,HispanicMale,HispanicFemale,Age0_4,Age5_9,Age10_14,Age15_19,Age20_24,Age25_29,Age30_34,Age35_39,Age40_44,Age45_49,Age50_54,Age55_59,Age60_64,Age65_69,Age70_74,Age75_79,Age80_84,Age85Plus,Party_Gop,Party_Dem,Party_Total
10/15/2020,Michigan,Montcalm County,1866.738152,33.99,60.45,46.8,89,33022,30866,34972,0.4633420987,0.4525889056,0.0227272727,0.0022226396,0.0018156774,0.0024417731,0.0198315803,0.0163880541,0.0560981718,0.0606373654,0.0643939394,0.0596199599,0.0566616579,0.065818307,0.0601364889,0.0615921613,0.0594790884,0.0642374155,0.066334836,0.0720792637,0.071453168,0.0603869271,0.0463623842,0.0323534936,0.0223985725,0.0199567994,21815,9703,32086
10/15/2020,Michigan,Montmorency County,1457.233731,31.49,90.3,42.8,25,4765,4563,37363,0.487135506,0.4669811321,0.0035377358,0.0021440823,0.0007504288,0.0020368782,0.0076114923,0.006432247,0.0347341338,0.0381646655,0.0464193825,0.0441680961,0.0366638079,0.0382718696,0.0374142367,0.0400943396,0.0441680961,0.0508147513,0.0619639794,0.0828687822,0.115780446,0.1107418525,0.0869425386,0.0582118353,0.0393439108,0.0332332762,4171,1628,5859
10/15/2020,Michigan,Muskegon County,3781.444441,33.21,80.05,47.8,313,85950,87616,39072,0.3781846675,0.3856342832,0.0692877637,0.0703133102,0.0026790961,0.0042231774,0.029418204,0.0286519249,0.060864455,0.0633015683,0.0650933939,0.0617862946,0.0590380604,0.0686251916,0.0626159501,0.062880979,0.0583639653,0.0583466808,0.0611006764,0.0715693166,0.0703363562,0.059971423,0.0459594621,0.0302017676,0.0199866333,0.0199578258,45133,45643,92435
10/15/2020,Michigan,Newaygo County,2231.790022,36.7,66.2,46.4,74,24658,24322,38037,0.4517762352,0.4506533279,0.0077786852,0.0045324622,0.0023274806,0.0028174765,0.0312168232,0.0283789302,0.0572478563,0.0604940792,0.0658636178,0.0606574112,0.0516333197,0.0599224173,0.0565741119,0.0551449571,0.0531441405,0.0563086974,0.0658227848,0.082564312,0.0768476929,0.0671090241,0.0504899959,0.0360351164,0.0242956309,0.0198448346,18857,7873,27156
10/15/2020,Michigan,Oakland County,2349.733006,32.46,36.1,47.7,2695,616754,640830,72741,0.3541497029,0.3611623558,0.0625357829,0.076898243,0.0419343758,0.0395917887,0.0217265805,0.0216407015,0.0536393593,0.0554674678,0.0593479243,0.0603426888,0.0583587259,0.0698434458,0.0644744208,0.0639480146,0.0607299393,0.0678483505,0.0695683151,0.0738336366,0.0695070866,0.0569798916,0.0450474879,0.0305251975,0.0186691307,0.0218689169,325971,434148,770209
10/15/2020,Michigan,Oceana County,3382.395991,35.625,76.75,45.9,49,13389,13078,37950,0.4062039521,0.4066573469,0.0075943628,0.0054407375,0.0012846186,0.0016246647,0.0806664903,0.069898364,0.0533116711,0.0620395209,0.0686893112,0.0613972116,0.0527449276,0.055994257,0.0499112102,0.0565610005,0.0523670987,0.053727283,0.0616616919,0.0794196547,0.0788151283,0.0699361469,0.0559564741,0.0405032682,0.0260702006,0.0208939434,8892,4944,14062
10/15/2020,Michigan,Ogemaw County,1489.107922,31.635,50.2,43.5,35,10464,10533,35396,0.4700195266,0.4733533362,0.0022860409,0.0018097823,0.0032861837,0.0030480545,0.0119064628,0.0114302043,0.0468162118,0.0499118922,0.0539600895,0.0520074296,0.0450540553,0.0514835453,0.0461970758,0.0505786541,0.0469114635,0.0529599467,0.0591036815,0.0834404915,0.098966519,0.0844406344,0.0662475592,0.0527694433,0.0322427013,0.026908606,8253,3475,11907
10/15/2020,Michigan,Ontonagon County,9687.695612,37.13333333,183.8,41.3,12,2924,2796,40129,0.4867132867,0.4594405594,0.0019230769,0.0013986014,0.0024475524,0.0033216783,0.0076923077,0.0082167832,0.0262237762,0.0304195804,0.0398601399,0.0438811189,0.0309440559,0.0270979021,0.0272727273,0.036013986,0.0386363636,0.0519230769,0.0674825175,0.095979021,0.1076923077,0.1202797203,0.0982517483,0.0704545455,0.0519230769,0.0356643357,2358,1391,3804
10/15/2020,Michigan,Osceola County,1484.099452,34.03,61.1,43.7,42,11801,11659,36023,0.4728047741,0.4692242114,0.0049019608,0.0034100597,0.0013640239,0.0016624041,0.0118073316,0.0108269395,0.0551150895,0.058397272,0.0645780051,0.0658141517,0.0512361466,0.0575021313,0.0513213981,0.0539641944,0.0513213981,0.0567348679,0.0636828645,0.0749786871,0.0795396419,0.0677749361,0.0574168798,0.042114237,0.0269820972,0.0215260017,8928,3214,12329
10/15/2020,Michigan,Oscoda County,1480.22455,29.25,50.2,44.25,17,4210,4031,33896,0.4858633661,0.4654774906,0.0027909234,0.0023055454,0.000728067,0.0013347895,0.0097075598,0.0087368038,0.0529062007,0.0519354447,0.0548477127,0.0516927557,0.042713263,0.0455041864,0.0430772964,0.0474456983,0.0377381386,0.0440480524,0.0575172916,0.0891882053,0.1053270234,0.0914937508,0.0714719087,0.0533915787,0.0323989807,0.0273025118,3466,1342,4874
