GeoName,LineCode,Description,Unit,Year,Value
"La Paz, AZ*",3,Per capita personal income (dollars) 2/,Dollars,2018,38714
"Maricopa, AZ",1,Personal income (thousands of dollars),Thousands of dollars,2018,209380123
"Maricopa, AZ",2,Population (persons) 1/,Number of persons,2018,4292576
"Maricopa, AZ",3,Per capita personal income (dollars) 2/,Dollars,2018,48777
"Mohave, AZ",1,Personal income (thousands of dollars),Thousands of dollars,2018,6992432
"Mohave, AZ",2,Population (persons) 1/,Number of persons,2018,207757
"Mohave, AZ",3,Per capita personal income (dollars) 2/,Dollars,2018,33657
"Navajo, AZ",1,Personal income (thousands of dollars),Thousands of dollars,2018,3482241
"Navajo, AZ",2,Population (persons) 1/,Number of persons,2018,106174
"Navajo, AZ",3,Per capita personal income (dollars) 2/,Dollars,2018,32797
"Pima, AZ",1,Personal income (thousands of dollars),Thousands of dollars,2018,44699660
"Pima, AZ",2,Population (persons) 1/,Number of persons,2018,1024650
"Pima, AZ",3,Per capita personal income (dollars) 2/,Dollars,2018,43624
"Pinal, AZ",1,Personal income (thousands of dollars),Thousands of dollars,2018,14163408
"Pinal, AZ",2,Population (persons) 1/,Number of persons,2018,407484
"Pinal, AZ",3,Per capita personal income (dollars) 2/,Dollars,2018,34758
"Santa Cruz, AZ",1,Personal income (thousands of dollars),Thousands of dollars,2018,1738741
"Santa Cruz, AZ",2,Population (persons) 1/,Number of persons,2018,47082
"Santa Cruz, AZ",3,Per capita personal income (dollars) 2/,Dollars,2018,36930
"Yavapai, AZ",1,Personal income (thousands of dollars),Thousands of dollars,2018,9362371
"Yavapai, AZ",2,Population (persons) 1/,Number of persons,2018,229820
"Yavapai, AZ",3,Per capita personal income (dollars) 2/,Dollars,2018,40738
"Yuma, AZ*",1,Personal income (thousands of dollars),Thousands of dollars,2018,7073441
"Yuma, AZ*",2,Population (persons) 1/,Number of persons,2018,200572
"Yuma, AZ*",3,Per capita personal income (dollars) 2/,Dollars,2018,35266
Arkansas,1,Personal income (thousands of dollars),Thousands of dollars,2018,128970824
Arkansas,2,Population (persons) 1/,Number of persons,2018,2997271
Arkansas,3,Per capita personal income (dollars) 2/,Dollars,2018,43029
"Arkansas, AR",1,Personal income (thousands of dollars),Thousands of dollars,2018,793208
"Arkansas, AR",2,Population (persons) 1/,Number of persons,2018,17550
"Arkansas, AR",3,Per capita personal income (dollars) 2/,Dollars,2018,45197
"Ashley, AR",1,Personal income (thousands of dollars),Thousands of dollars,2018,711280
"Ashley, AR",2,Population (persons) 1/,Number of persons,2018,19723
"Ashley, AR",3,Per capita personal income (dollars) 2/,Dollars,2018,36063
"Baxter, AR",1,Personal income (thousands of dollars),Thousands of dollars,2018,1518211
"Baxter, AR",2,Population (persons) 1/,Number of persons,2018,41197
"Baxter, AR",3,Per capita personal income (dollars) 2/,Dollars,2018,36852
"Benton, AR",1,Personal income (thousands of dollars),Thousands of dollars,2018,24404513
"Benton, AR",2,Population (persons) 1/,Number of persons,2018,270714
"Benton, AR",3,Per capita personal income (dollars) 2/,Dollars,2018,90149
